lng,lat
-30.00454158,120.0343953
-30.00488904,120.0462285
-30.00556483,120.0558555
-30.01370534,120.0557082
-29.71892678,119.8323781
-29.72102321,119.8376655
-29.72303128,119.8428577
-29.72490391,119.8480462
-29.72447783,119.8531698
-29.7247367,119.8558018
-29.72617655,119.858457
-29.72609481,119.8609864
-29.72542579,119.8635611
-29.72556795,119.8661588
-29.72557508,119.8687423
-29.72557508,119.8687423
-29.72458164,119.8712974
-29.72084871,119.8737432
-29.71952056,119.8763402
-30.26014957,120.1725049
-30.26077992,120.1637079
-30.25135799,120.1734218
-30.25006172,120.1631123
-30.24987493,120.150361
-30.28798245,120.1825766
-30.28816993,120.1929739
-30.28861411,120.2124782
-30.28800305,120.2032879
-30.27900024,120.2129165
-30.27880597,120.2042348
-30.27028295,120.2139526
-30.2694175,120.2046673
-30.17748105,120.0928548
-30.17767137,120.1022641
-30.18621198,120.102263
-30.18674837,120.1114451
-30.17825967,120.1125753
-30.18787047,120.1226865
-30.19726107,120.1129445
-30.19688577,120.1024797
-30.2052324,120.1124833
-30.25183281,120.1837342
-30.24283371,120.1838145
-30.05963616,120.0750531
-30.05983984,120.0854356
-30.06002934,120.0956216
-30.06026095,120.1061176
-30.05125424,120.1062553
-30.05110817,120.0959548
-30.04188377,120.0858478
-30.0328716,120.0861428
-30.04188377,120.0858478
-30.04201353,120.0957849
-30.04212818,120.1058885
-30.03344116,120.0968021
-30.02373256,120.0762536
-30.01459037,120.0763769
-30.00570699,120.0763786
-30.00539806,120.0661499
-30.01404357,120.0659989
-30.02279837,120.0658964
-30.0321679,120.0670713
-30.02337307,120.0548937
-30.03110686,120.0551106
-30.03181077,120.0446836
-30.03155374,120.0344717
-30.02295082,120.0349041
-30.02290058,120.044689
-30.02233434,120.0152316
-30.0292526,120.0128995
-30.03145344,120.0240479
-30.02253274,120.0247809
-30.08688722,120.0846421
-30.08711646,120.0949853
-30.08703805,120.1040931
-30.08756483,120.1157345
-30.09680381,120.1257757
-30.09659587,120.1154722
-30.09636659,120.1050552
-30.0961642,120.0946687
-30.09591685,120.0843251
-30.07788277,120.0848753
-30.07810337,120.0952385
-30.07830604,120.1056439
-30.07856915,120.1159647
-30.06960929,120.1161832
-30.0690824,120.0955437
